file,model,topo,load,scenario,t1_bytes,t1_kb,t2_bytes,t2_kb,avg_fct,flow_count,skipped_lines
fct_topo1_search_load0.1_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21024000.txt,search,1,0.1,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1024000,1000.0,422152.64677002584,3870,0
fct_topo1_search_load0.1_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21280000.txt,search,1,0.1,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1280000,1250.0,422467.58914728684,3870,0
fct_topo1_search_load0.1_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21536000.txt,search,1,0.1,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1536000,1500.0,422948.1157622739,3870,0
fct_topo1_search_load0.1_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2512000.txt,search,1,0.1,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,512000,500.0,421617.838501292,3870,0
fct_topo1_search_load0.1_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2768000.txt,search,1,0.1,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,768000,750.0,422186.21291989664,3870,0
fct_topo1_search_load0.2_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21024000.txt,search,1,0.2,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1024000,1000.0,527457.6023622047,7620,0
fct_topo1_search_load0.2_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21280000.txt,search,1,0.2,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1280000,1250.0,527761.6615485564,7620,0
fct_topo1_search_load0.2_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21536000.txt,search,1,0.2,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1536000,1500.0,528942.8007874016,7620,0
fct_topo1_search_load0.2_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2512000.txt,search,1,0.2,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,512000,500.0,520586.5888451444,7620,0
fct_topo1_search_load0.2_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2768000.txt,search,1,0.2,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,768000,750.0,524340.395800525,7620,0
fct_topo1_search_load0.3_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21024000.txt,search,1,0.3,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1024000,1000.0,583054.7856640281,11370,0
fct_topo1_search_load0.3_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21280000.txt,search,1,0.3,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1280000,1250.0,585076.9540897098,11370,0
fct_topo1_search_load0.3_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21536000.txt,search,1,0.3,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1536000,1500.0,585448.9216358839,11370,0
fct_topo1_search_load0.3_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2512000.txt,search,1,0.3,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,512000,500.0,580918.106244503,11370,0
fct_topo1_search_load0.3_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2768000.txt,search,1,0.3,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,768000,750.0,582146.9501319261,11370,0
fct_topo1_search_load0.4_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21024000.txt,search,1,0.4,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1024000,1000.0,723931.1174680865,15119,0
fct_topo1_search_load0.4_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21280000.txt,search,1,0.4,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1280000,1250.0,725752.6955486474,15119,0
fct_topo1_search_load0.4_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21536000.txt,search,1,0.4,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1536000,1500.0,726079.4224485747,15119,0
fct_topo1_search_load0.4_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2512000.txt,search,1,0.4,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,512000,500.0,719209.1493485019,15119,0
fct_topo1_search_load0.4_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2768000.txt,search,1,0.4,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,768000,750.0,723122.8900059528,15119,0
fct_topo1_search_load0.5_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21024000.txt,search,1,0.5,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1024000,1000.0,881922.6438261791,18870,0
fct_topo1_search_load0.5_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21280000.txt,search,1,0.5,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1280000,1250.0,893415.4861685215,18870,0
fct_topo1_search_load0.5_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21536000.txt,search,1,0.5,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1536000,1500.0,890823.573926868,18870,0
fct_topo1_search_load0.5_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2512000.txt,search,1,0.5,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,512000,500.0,879190.9104398516,18870,0
fct_topo1_search_load0.5_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2768000.txt,search,1,0.5,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,768000,750.0,883359.6560678325,18870,0
fct_topo1_search_load0.6_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21024000.txt,search,1,0.6,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1024000,1000.0,1160393.257880543,22619,0
fct_topo1_search_load0.6_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21280000.txt,search,1,0.6,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1280000,1250.0,1170796.8606923383,22619,0
fct_topo1_search_load0.6_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21536000.txt,search,1,0.6,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1536000,1500.0,1160480.1088907556,22619,0
fct_topo1_search_load0.6_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2512000.txt,search,1,0.6,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,512000,500.0,1149344.244971042,22619,0
fct_topo1_search_load0.6_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2768000.txt,search,1,0.6,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,768000,750.0,1153363.5787612183,22619,0
fct_topo1_search_load0.7_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21024000.txt,search,1,0.7,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1024000,1000.0,1550551.0740614336,26370,0
fct_topo1_search_load0.7_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21280000.txt,search,1,0.7,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1280000,1250.0,1555220.7669700417,26370,0
fct_topo1_search_load0.7_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21536000.txt,search,1,0.7,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1536000,1500.0,1559972.3204778158,26370,0
fct_topo1_search_load0.7_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2512000.txt,search,1,0.7,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,512000,500.0,1539890.887258248,26370,0
fct_topo1_search_load0.7_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2768000.txt,search,1,0.7,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,768000,750.0,1549784.8581721652,26370,0
fct_topo1_search_load0.8_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21024000.txt,search,1,0.8,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1024000,1000.0,1993833.2604581674,30120,0
fct_topo1_search_load0.8_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21280000.txt,search,1,0.8,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1280000,1250.0,1999381.141367862,30120,0
fct_topo1_search_load0.8_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21536000.txt,search,1,0.8,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1536000,1500.0,2006920.8704183267,30120,0
fct_topo1_search_load0.8_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2512000.txt,search,1,0.8,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,512000,500.0,1990380.820252324,30120,0
fct_topo1_search_load0.8_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2768000.txt,search,1,0.8,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,768000,750.0,1979591.2970783534,30120,0
fct_topo1_search_load0.9_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21024000.txt,search,1,0.9,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1024000,1000.0,2498904.718984352,33870,0
fct_topo1_search_load0.9_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21280000.txt,search,1,0.9,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1280000,1250.0,2504169.0039563035,33870,0
fct_topo1_search_load0.9_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t21536000.txt,search,1,0.9,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,1536000,1500.0,2516023.7793032182,33870,0
fct_topo1_search_load0.9_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2512000.txt,search,1,0.9,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,512000,500.0,2475684.9007381164,33870,0
fct_topo1_search_load0.9_incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100_t1102400_t2768000.txt,search,1,0.9,incast_dataset1_multi_t10_10_8_einN50Th0.7K3W100,102400,100.0,768000,750.0,2491575.0263950396,33870,0
